client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,ASP_mem,ASP_ret,mem_revenue_pct,mem_count_pct,client_id_1,active,timezone,address1,state,postal_code,region
Hurricane Bay Express,000003_hurricane,1,2020,1,0,0,0.00,1699,23442.00,,13.8,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,2,0,0,0.00,2895,40824.00,,14.1,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,3,0,0,0.00,2438,34418.00,,14.12,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,4,0,0,0.00,2367,33551.00,,14.17,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,5,0,0,0.00,3147,44752.50,,14.22,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,6,0,0,0.00,3373,48124.50,,14.27,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,7,0,0,0.00,2863,45382.20,,15.85,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,8,0,0,0.00,2694,43510.20,,16.15,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,9,0,0,0.00,4342,69714.80,,16.06,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,10,0,0,0.00,3444,54876.20,,15.93,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,11,0,0,0.00,2779,44124.45,,15.88,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2020,12,0,0,0.00,3092,49225.70,,15.92,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,1,0,0,0.00,3252,51554.00,,15.85,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,2,0,0,0.00,3828,60454.00,,15.79,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,3,0,0,0.00,4514,73469.00,,16.28,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,4,0,0,0.00,4163,67594.00,,16.24,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,5,0,0,0.00,4818,78511.40,,16.3,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,6,0,0,0.00,3566,58328.80,,16.36,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,7,0,0,0.00,3483,57204.80,,16.42,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,8,0,0,0.00,3353,55617.20,,16.59,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,9,0,0,0.00,3472,57146.20,,16.46,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,10,0,0,0.00,3198,52266.80,,16.34,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,11,0,0,0.00,3333,54573.00,,16.37,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2021,12,0,0,0.00,3175,51692.80,,16.28,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2022,1,0,0,0.00,3964,62915.50,,15.87,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2022,2,0,0,0.00,4570,73179.80,,16.01,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2022,3,0,0,0.00,3913,63198.00,,16.15,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2022,4,0,0,0.00,4220,68978.00,,16.35,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,1,2022,5,0,0,0.00,2204,35532.00,,16.12,0.0,0.0,000003_hurricane,0,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2025,11,33,1,267.00,44,211.50,267.0,4.81,55.8,2.22,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2025,12,119,280,1174.08,863,12397.00,4.19,14.37,8.65,24.5,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2026,1,128,357,4065.93,469,6993.00,11.39,14.91,36.77,43.22,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2026,2,209,773,5597.02,1663,25269.97,7.24,15.2,18.13,31.73,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2026,3,235,840,7385.36,807,13071.00,8.79,16.2,36.1,51.0,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2026,4,252,1043,8309.66,746,11973.00,7.97,16.05,40.97,58.3,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,2,2026,5,258,962,8818.05,661,10637.96,9.17,16.09,45.32,59.27,000003_hurricane,1,America/New_York,30 Patriot Dr,KY,40004,South
Hurricane Bay Express,000003_hurricane,3,2025,9,11,11,110.00,288,3024.00,10.0,10.5,3.51,3.68,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2025,10,31,62,310.00,634,6760.00,5.0,10.66,4.38,8.91,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2025,11,35,77,779.95,322,4845.00,10.13,15.05,13.87,19.3,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2025,12,39,93,1037.85,621,9345.00,11.16,15.05,10.0,13.03,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2026,1,35,82,1129.90,225,3320.99,13.78,14.76,25.39,26.71,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2026,2,40,119,1182.91,727,10411.99,9.94,14.32,10.2,14.07,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2026,3,47,117,1410.95,447,6944.98,12.06,15.54,16.89,20.74,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2026,4,46,151,1415.90,503,7630.00,9.38,15.17,15.65,23.09,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Hurricane Bay Express,000003_hurricane,3,2026,5,64,154,1714.88,967,10266.98,11.14,10.62,14.31,13.74,000003_hurricane,1,America/New_York,11235 Hwy 44 E,KY,40047,South
Cliff's Car Wash,000004_cliff,1,2020,1,172,4252,4076.31,2129,24865.87,0.96,11.68,14.08,66.64,000004_cliff,1,America/Denver,3536 W 4800 S,UT,84067,West
Cliff's Car Wash,000004_cliff,1,2020,2,208,4406,4930.74,3120,36788.07,1.12,11.79,11.82,58.54,000004_cliff,1,America/Denver,3536 W 4800 S,UT,84067,West
Cliff's Car Wash,000004_cliff,1,2020,3,111,3448,2593.85,1694,20159.64,0.75,11.9,11.4,67.06,000004_cliff,1,America/Denver,3536 W 4800 S,UT,84067,West
