weather_total_precipitation_mm,weather_rainy_days,weather_total_snowfall_cm,weather_days_below_freezing,weather_total_sunshine_hours,weather_days_pleasant_temp,weather_avg_daily_max_windspeed_ms,nearest_gas_station_distance_miles,nearest_gas_station_rating,nearest_gas_station_rating_count,competitors_count_4miles,competitor_1_google_rating,competitor_1_distance_miles,competitor_1_rating_count,distance_nearest_costco(5 mile),distance_nearest_walmart(5 mile),distance_nearest_target (5 mile),other_grocery_count_1mile,count_food_joints_0_5miles (0.5 mile),current_count,client_id,street,city,zip,site_client_id,location_id,_match_type,age_on_30_sep_25,region,state,region_enc,state_enc,costco_enc,tunnel_count,carwash_type_encoded,primary_carwash_type,official_website
1090.2,130.0,9.59,38.0,3324.895128,169.0,16.26065574,0.08,3.8,28,9.0,4.0,0.72,1007.0,,2.32,0.88,3.0,1.0,218303.09,Aqua Blue Car Wash,1097 Duluth Hwy,Lawrenceville,30043,24,3,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://aquabluecarwash.com/
1062.4,132.0,0.0,0.0,3724.222658,175.0,17.06967213,0.16,4.1,106,10.0,3.8,0.83,237.0,,,,,3.0,112956.58,Woodies,111 N Tamiami Trail,Nokomis,34275,1622,11,chain+street+zip,2.0,South,FL,2,7,99.0,0,1,Express Tunnel,https://www.woodieswash.com/
826.2,103.0,77.28,92.0,3081.196406,116.0,18.24262295,0.12,4.1,477,8.0,4.1,0.33,387.0,,,,1.0,7.0,301052.27,Tsunami Car Wash,3251 Grant St,Gary,46408,1482,6,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.18,3.1,18,5.0,,0.2,,2.5,2.33,2.67,2.0,3.0,370304.88,Scrubbles STL,297 Salt Lick Rd,St. Peters,63376,1223,4,chain+street+zip,2.0,Midwest,MO,0,18,2.5,3,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/
798.9,109.0,70.56,93.0,3120.794275,111.0,18.76256831,0.08,3.0,74,11.0,3.3,0.2,406.0,4.14,2.0,1.37,3.0,10.0,46666.83,Evanston Car Wash,2416 Dempster St,Evanston,60202,470,1,chain+street+zip,3.0,Midwest,IL,0,10,4.14,0,1,Express Tunnel,https://www.evanstoncarwash.com/
1315.8,165.0,31.99,81.0,3280.661017,149.0,19.30327869,0.12,3.8,9,9.0,4.4,0.2,406.0,,0.55,,1.0,20.0,207518.42,Five Star,1200 Blowing Rock Rd,Boone,28607,501,7,chain+street+zip,2.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://wash5star.com/locations/boone/
856.3,107.0,71.05,99.0,3035.443019,115.0,16.42540984,0.27,3.6,57,11.0,5.0,0.56,3.0,,1.44,1.82,1.0,3.0,156408.78,Drip Auto Spa,8955 Indianapolis Blvd,Highland,46322,430,1,chain+street+zip,2.0,Midwest,IN,0,11,99.0,1,1,Express Tunnel,https://dripautospany.com/
736.4,101.0,71.68,122.0,3093.946161,116.0,19.06120219,0.28,3.7,23,11.0,,0.95,,4.21,1.56,3.87,3.0,4.0,300854.09,Tsunami Car Wash,5520 W Layton Ave,Greenfield,53220,1483,3,chain+street+zip,4.0,Midwest,WI,0,43,4.21,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/
731.7,121.0,108.64,124.0,2884.660608,117.0,19.84098361,0.18,3.9,75,10.0,3.8,1.0,123.0,,1.85,1.71,1.0,6.0,63475.53,Wave Auto Wash,451 68th St SW,Grand Rapids,49548,1600,1,chain+street+zip,3.0,Midwest,MI,0,17,99.0,0,1,Express Tunnel,https://wavesautowash.com/
1121.9,144.0,0.0,0.0,3617.976642,166.0,16.21229508,0.11,3.9,245,1.0,3.0,3.04,300.0,,0.19,,4.0,4.0,245494.32,Woodies,4927 FL-674,Wimauma,33598,1630,6,chain+street+zip,3.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/
931.5,118.0,34.65,74.0,3229.634733,145.0,17.18606557,0.31,4.5,84,12.0,3.6,0.17,156.0,,2.11,1.96,4.0,14.0,112256.59,Road Runner Express,7816 Timberlake Rd,Lynchburg,24502,1178,1,chain+street+zip,3.0,South,VA,2,39,99.0,0,1,Express Tunnel,https://roadrunnercarwash.com/
941.7,113.0,10.43,55.0,3276.718506,159.0,17.58715847,0.34,3.0,6,11.0,3.6,0.6,515.0,2.06,0.35,3.17,9.0,11.0,131887.31,Five Star,3803 W Gate City Blvd,Greensboro,27407,503,6,chain+street+zip,3.0,South,NC,2,21,2.06,1,1,Express Tunnel,https://wash5star.com/locations/boone/
954.2,131.0,0.0,0.0,3635.420917,154.0,16.03961749,0.45,4.0,62,10.0,5.0,1.45,1.0,,0.19,3.39,,3.0,114556.98,Woodies,9350 Theater Dr,Gibsonton,33534,1621,10,chain+street+zip,3.0,South,FL,2,7,99.0,0,1,Express Tunnel,https://www.woodieswash.com/
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.19,4.4,154,7.0,4.0,0.23,166.0,1.91,0.06,2.42,,1.0,178132.16,Scrubbles STL,3300 Mid Rivers Mall Dr,St. Peters,63376,1218,6,chain+street+zip,2.0,Midwest,MO,0,18,1.91,1,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/
1353.0,165.0,0.0,0.0,3607.834381,163.0,15.50327869,0.24,3.5,21,13.0,4.1,0.24,8.0,0.72,0.96,1.17,3.0,2.0,61233.31,Coral Springs Classic Car Wash,10610 Wiles Rd,Coral Springs,33076,383,1,chain+street+zip,6.0,South,FL,2,7,0.72,0,1,Express Tunnel,https://classic-carwash.com/
913.5,106.0,9.31,21.0,3379.203856,149.0,15.65,0.55,4.0,71,7.0,,0.96,,,0.05,,2.0,15.0,146663.29,FoamWorks Express,1303 16th Ave E,Cordele,31015,512,10,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://foamworkscarwash.com/
1363.5,99.0,16.38,28.0,3403.851406,145.0,18.22923497,0.39,3.7,155,13.0,4.8,0.95,1611.0,0.85,0.45,2.14,2.0,5.0,162767.27,Oasis Auto Spa,5001 Collin McKinney Pkwy,McKinney,75070,1080,1,chain+street+zip,2.0,South,TX,2,37,0.85,1,1,Express Tunnel,https://www.oasisautospa.org/
961.5,125.0,0.14,6.0,3578.618275,162.0,14.63306011,0.09,4.0,13,11.0,4.6,0.34,328.0,,2.14,1.95,3.0,11.0,298345.32,Gallo Car Wash,3020 NW 13th St,Gainesville,32609,528,1,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.gallocarwash.com/
321.9,76.0,78.68,127.0,3400.456808,111.0,19.26502732,0.53,3.0,29,13.0,4.0,1.26,183.0,2.33,1.35,1.34,2.0,6.0,96935.56,Firehose Car Wash,1269 E 17th St,Idaho Falls,83404,500,1,chain+street+zip,4.0,West,ID,4,9,2.33,0,1,Express Tunnel,https://firehosewash.com/
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.46,4.4,145,8.0,4.2,0.4,186.0,1.96,0.88,0.52,,12.0,104704.48,Scrubbles STL,1125 Cave Springs Blvd,St. Peters,63376,1219,1,chain+street+zip,2.0,Midwest,MO,0,18,1.96,0,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/
826.2,103.0,77.28,92.0,3081.196406,116.0,18.24262295,0.01,3.9,427,10.0,5.0,0.09,1.0,,3.76,3.33,2.0,6.0,57933.07,Wash Up,1224 E Ridge Rd,Griffith,46319,1579,7,chain+street+zip,2.0,Midwest,IN,0,11,99.0,0,1,Express Tunnel,https://www.uwashup.com/
982.6,114.0,18.69,54.0,3197.464897,149.0,18.02431694,0.27,3.0,20,8.0,,0.57,,,0.15,,2.0,12.0,109634.72,Auto Brite Express,211 N Cooper Dr,Henderson,27536,38,1,chain+street+zip,3.0,South,NC,2,21,99.0,0,3,Full Service,https://www.auto-briteexpresslube.com/
980.2,122.0,5.67,42.0,3337.676069,169.0,17.94453552,0.4,4.1,51,12.0,,0.34,,1.77,0.1,1.54,3.0,12.0,47143.06,Colonial Car Wash,1405 Woodruff Rd,Greenville,29607,372,6,chain+street+zip,2.0,South,SC,2,34,1.77,0,2,Flex,https://colonialcw.com/wash-services/car-washing/
1095.2,121.0,9.03,53.0,3229.75245,149.0,16.67431694,0.33,3.8,49,10.0,4.2,0.2,1096.0,,0.19,1.98,4.0,7.0,123634.06,Edge Express,1004 Morrisville Carpenter Rd,Morrisville,27560,441,6,chain+street+zip,2.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.edgeexpresscarwash.com/
1205.7,128.0,32.41,44.0,3167.527408,140.0,17.75191257,0.16,4.7,6,13.0,4.1,0.37,30.0,,2.08,3.96,2.0,2.0,128540.0,Riptide,3335 Victory Blvd,Portsmouth,23701,1167,7,chain+street+zip,2.0,South,VA,2,39,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/
880.8,105.0,6.79,49.0,3280.060994,164.0,17.6068306,0.13,3.8,5,4.0,3.5,0.38,24.0,,0.4,4.53,2.0,13.0,150964.0,Riptide,1001 Dallas Cherryville Hwy,Dallas,28034,1169,6,chain+street+zip,3.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/
1021.6,122.0,112.35,108.0,2949.263628,123.0,19.24453552,0.36,4.7,3,8.0,3.6,0.13,77.0,,2.32,,1.0,1.0,322433.4,Tsunami Car Wash,821 Pine Lake Ave,La Porte,46350,1478,7,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/
1278.3,145.0,21.56,72.0,3255.608981,156.0,16.93797814,0.17,4.3,60,3.0,4.4,0.17,71.0,,4.73,,2.0,2.0,273629.92,TruShine,1912 TN-394,Blountville,37617,1457,7,chain+street+zip,2.0,South,TN,2,36,99.0,2,1,Express Tunnel,https://www.trushinecarwash.com/
1038.7,132.0,0.0,0.0,3698.158119,167.0,16.85655738,0.32,3.9,311,13.0,4.9,0.14,6838.0,,1.8,0.93,2.0,6.0,245515.44,Woodies,8680 N. Park Blvd,Seminole,33777,1625,13,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/
1195.4,112.0,22.89,32.0,2959.051317,119.0,17.0704918,1.66,3.0,3,5.0,4.5,1.74,430.0,3.18,4.32,3.17,,0.0,55189.92,Happy Car Wash 2,527 NW North Albany Rd,Albany,97321,616,1,chain+street+zip,3.0,West,OR,4,31,3.18,0,1,Express Tunnel,https://happycarwashes.com/manage-membership/
1469.6,128.0,21.0,43.0,3270.104025,152.0,18.09562842,0.13,4.3,41,7.0,4.6,0.24,12.0,,0.17,,1.0,11.0,128013.0,Century Car Wash,2660 McIngvale Rd,Hernando,38632,285,8,chain+street+zip,2.0,South,MS,2,19,99.0,1,1,Express Tunnel,https://centurycarwash.mywashaccount.com/
932.4,86.0,55.09,36.0,3283.812706,118.0,13.15464481,0.59,4.0,199,13.0,4.4,0.61,274.0,,0.89,,1.0,2.0,353051.56,Rogue Car Wash,819 SE Mill St,Grants Pass,97526,1199,1,chain+street+zip,2.0,West,OR,4,31,99.0,2,1,Express Tunnel,https://www.roguecarwash.com/
977.2,119.0,47.67,90.0,3205.340644,150.0,16.47923497,0.76,3.4,14,3.0,4.7,0.19,145.0,,,,2.0,7.0,242518.88,Road Runner Express,101 Market Center Way,Daleville,24083,1176,3,chain+street+zip,2.0,South,VA,2,39,99.0,2,1,Express Tunnel,https://roadrunnercarwash.com/
859.0,112.0,9.73,48.0,3257.678881,162.0,16.98087432,0.35,4.2,153,1.0,1.8,0.34,5.0,,,,1.0,8.0,115358.68,Lakes Edge,7916 Bradley Long Dr,Sherrills Ford,28673,672,1,chain+street+zip,2.0,South,NC,2,21,99.0,0,2,Self-Serve,https://ntslakesedge.com/
794.9,118.0,100.31,129.0,2820.377278,121.0,19.99945355,0.25,4.1,89,7.0,3.8,0.26,358.0,,0.24,0.38,4.0,10.0,155962.88,Drip Car Wash,3709 Owen Rd,Fenton,48430,431,1,chain+street+zip,2.0,Midwest,MI,0,17,99.0,1,1,Express Tunnel,https://dripcarwash.com/
1428.1,139.0,51.38,82.0,3094.392889,135.0,18.7931694,0.01,4.2,218,5.0,4.2,2.14,164.0,,2.15,4.61,1.0,1.0,10344.6,Kwik Car Wash,4000 Catnip Hill Rd,Nicholasville,40356,667,1,chain+street+zip,10.0,South,KY,2,13,99.0,0,1,Express Tunnel,https://www.carwashkwik.com/
1016.2,113.0,5.39,37.0,3368.657169,170.0,18.1568306,0.2,4.1,59,14.0,3.9,0.85,171.0,,1.86,1.51,,4.0,375730.91,Papa Bear,1500 Pearman Dairy Rd,Anderson,29625,1093,4,chain+street+zip,2.0,South,SC,2,34,99.0,3,1,Express Tunnel,https://www.papabearcarwash.com/
,,,,,,,0.3,4.8,223,,,,,,,,,,159521.99,Suds Bucket Car Wash,615 landmark Point Blvd. Suite B,Gray,31032,1348,1,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://www.sudsbucketcarwash.com/wash-packages/
1080.5,111.0,46.83,61.0,3167.458703,136.0,16.46311475,0.59,4.0,68,8.0,4.7,2.17,15.0,,2.61,3.52,3.0,1.0,142089.02,Riptide,3025 Mechanicsville Turnpike,Richmond,23223,1161,2,chain+street+zip,3.0,South,VA,2,39,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/
1116.1,106.0,44.03,89.0,3185.407322,137.0,21.80273224,0.1,1.0,3,5.0,4.4,0.2,92.0,,0.85,,,3.0,97796.31,Auto Soak,18711 S Gardner Rd,Gardner,66030,40,1,chain+street+zip,2.0,Midwest,KS,0,12,99.0,0,1,Express Tunnel,https://autosoakcarwash.com/
962.2,131.0,0.0,0.0,3674.325397,158.0,15.67759563,0.64,4.0,85,11.0,4.6,0.66,27.0,4.33,1.28,2.54,3.0,7.0,204701.95,Woodies,7601 Ulmerton Rd,Largo,33771,1631,14,chain+street+zip,2.0,South,FL,2,7,4.33,1,1,Express Tunnel,https://www.woodieswash.com/
441.9,80.0,60.34,115.0,3648.155117,116.0,14.55464481,0.52,4.2,68,15.0,2.7,0.44,110.0,1.84,2.4,2.19,4.0,11.0,51061.11,Blue Sky Englewood,3718 S Broadway,Englewood,80113,101,1,chain+street+zip,3.0,West,CO,4,4,1.84,0,3,Full Service,https://www.blueskyplumbing.com/englewood/air-conditioning/ac-installation-replacement/
1107.6,115.0,49.49,83.0,2999.728453,122.0,17.71065574,0.48,3.8,48,9.0,3.7,1.47,200.0,1.28,,1.52,,1.0,56121.02,Staten Island Auto Bath Inc,1531 ARTHUR KILL RD,STATEN ISLAND,10312,1327,1,chain+street+zip,11.0,Northeast,NY,1,28,1.28,0,1,Express Tunnel,https://businessyab.com/explore/united_states/new_york/richmond_county/staten_island/arden_heights/arthur_kill_road/1531/si-auto-bath-718-227-3414.html
1099.8,87.0,2.8,25.0,3425.410283,150.0,21.26803279,0.08,3.1,63,12.0,4.5,0.1,246.0,,3.39,3.72,,3.0,95697.62,Scarborough Car Wash,1448 FM 66,Waxahachie,75165,1214,1,chain+street+zip,2.0,South,TX,2,37,99.0,0,1,Express Tunnel,https://scarboroughcarwashtx.com/
1345.5,155.0,0.0,0.0,3607.955919,170.0,15.1784153,0.65,4.0,247,15.0,4.7,0.09,376.0,4.64,4.66,1.89,3.0,16.0,280999.48,Express Wash,445 Florida Central Pkwy,Longwood,32750,483,4,chain+street+zip,2.0,South,FL,2,7,4.64,2,1,Express Tunnel,https://expresswashcarwash.com/
1201.6,142.0,21.7,67.0,3239.367369,153.0,16.85054645,0.55,4.6,18,12.0,5.0,0.32,50.0,,1.23,2.27,2.0,7.0,100521.0,TruShine,2227 Fort Henry Dr,Kingsport,37664,1460,5,chain+street+zip,4.0,South,TN,2,36,99.0,0,1,Express Tunnel,https://www.trushinecarwash.com/
1159.8,113.0,11.83,49.0,3213.250675,152.0,16.86147541,0.09,4.1,36,7.0,3.1,1.06,29.0,,1.61,2.56,1.0,3.0,160146.79,Riptide,13150 Falls of Neuse Rd,Raleigh,27614,1162,1,chain+street+zip,3.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/
1022.5,118.0,5.11,22.0,3388.750042,160.0,14.63825137,0.29,1.0,2,8.0,4.8,0.1,452.0,,2.18,,4.0,7.0,222059.85,FoamWorks Express,5551 Thomaston Rd.,Macon,31220,510,9,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://foamworkscarwash.com/
779.2,120.0,99.61,132.0,2819.164392,121.0,18.69453552,0.14,3.0,23,6.0,4.1,1.77,135.0,4.52,,4.78,2.0,6.0,134358.0,Planet Oil,6380 Sashabaw Rd,Clarkston,48346,1109,1,chain+street+zip,2.0,Midwest,MI,0,17,4.52,1,1,Express Tunnel,https://planetoilchangecenters.com/
1169.1,132.0,8.61,45.0,3357.528828,170.0,16.8773224,0.18,5.0,1,13.0,4.1,0.56,279.0,,0.43,1.73,5.0,14.0,228656.71,Aqua Breeze Car Wash,150 E Felton Rd,Cartersville,30120,27,1,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://aquabreezecarwash.com/breeze-membership
1215.4,119.0,31.08,53.0,3125.555222,146.0,17.23825137,0.29,3.8,26,9.0,4.4,0.89,161.0,,1.53,,1.0,4.0,117340.0,Vortex Car Wash,150 Jonathans Way,Suffolk,23434,1513,1,chain+street+zip,2.0,South,VA,2,39,99.0,0,1,Express Tunnel,http://vortexcarwash.mywashaccount.com/
874.4,114.0,87.36,95.0,3067.360228,118.0,20.43387978,0.17,4.4,9,12.0,4.1,0.08,579.0,,0.98,,2.0,2.0,351017.32,Tsunami Car Wash,3105 Willowcreek Rd,Portage,46368,1485,8,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/
1095.9,121.0,10.08,49.0,3211.292197,150.0,16.28060109,0.06,4.2,24,11.0,,0.74,,2.94,0.81,3.64,2.0,6.0,162939.22,American Pride,3810 New Bern Ave,Raleigh,27610,20,5,chain+street+zip,2.0,South,NC,2,21,2.94,1,1,Express Tunnel,https://americanpridexpress.com/
851.0,123.0,80.85,121.0,2890.283664,123.0,16.9863388,0.59,2.0,1,10.0,4.4,0.97,159.0,1.95,1.14,2.14,4.0,0.0,57442.36,Mega Shine,18282 E Thirteen Mile Rd,Roseville,48066,1012,1,chain+street+zip,2.0,Midwest,MI,0,17,1.95,0,3,Full Service,https://megashine.us/contact/
980.2,122.0,5.67,42.0,3337.676069,169.0,17.94453552,0.34,4.5,44,9.0,,0.09,,,3.56,,4.0,4.0,301245.39,Sonic Suds,2836 Woodruff Rd,Simpsonville,29681,1271,4,chain+street+zip,2.0,South,SC,2,34,99.0,2,1,Express Tunnel,http://sonicsuds.mywashaccount.com/
771.6,87.0,50.12,101.0,3236.896039,120.0,20.78907104,2.53,3.8,63,6.0,3.5,2.43,17.0,4.33,2.06,2.56,,0.0,44301.76,Soapatopia,6930 S. 73rd Street,Lincoln,68516,1259,1,chain+street+zip,4.0,Midwest,NE,0,23,4.33,0,1,Express Tunnel,https://soapatopiacarwash.com/
1368.0,137.0,96.18,133.0,2865.245406,123.0,17.05163934,1.0,4.1,7,3.0,4.6,1.29,31.0,,3.71,3.54,,0.0,37508.11,Saratoga Honda,3402 US-9,Saratoga Springs,12866,1212,1,chain+street+zip,2.0,Northeast,NY,1,28,99.0,0,3,Full Service,https://saratogahonda.com/
1118.4,121.0,9.45,38.0,3354.166642,174.0,18.1568306,0.19,4.4,13,9.0,4.1,0.21,31.0,,2.75,4.71,4.0,3.0,162352.09,Wow Car Wash,242 N Broad St,Winder,30680,1637,3,chain+street+zip,2.0,South,GA,2,8,99.0,1,2,Flex,https://wowwashcarwash.com/location-roscoe/
1211.8,169.0,0.0,0.0,3712.135825,187.0,18.13797814,0.17,3.3,19,5.0,4.4,0.18,673.0,,0.1,,,3.0,211002.71,Pelican Car Wash,13020 US-1,Sebastian,32958,1103,1,chain+street+zip,2.0,South,FL,2,7,99.0,1,1,Express Tunnel,https://www.pelicancarwash.com/services-packages-1
1066.8,115.0,10.22,52.0,3233.325506,163.0,16.01120219,0.17,3.8,32,4.0,4.8,2.93,1193.0,,3.41,2.43,1.0,1.0,68016.43,Rocket Wash 2,1207 M.L.K. Jr Blvd,Chapel Hill,27514,1196,5,chain+street+zip,3.0,South,NC,2,21,99.0,0,1,Express Tunnel,https://rocketcarwashexpress.com/
858.0,197.0,0.0,0.0,3864.680272,36.0,16.34016393,0.42,4.2,157,13.0,5.0,1.52,1.0,1.25,1.11,0.78,3.0,5.0,62507.39,Hitech Autocare,1675 Ave Victor M Labiosa,San Juan,926,629,1,chain+street+zip,7.0,South,FL,2,7,1.25,0,1,Express Tunnel,https://hitechautocarepr.com/en/
