national_id,calendar_month,month_level,ref_level,peer_count,seasonal_factor,ref_recent
ALL,1,7393.515097690942,8387.93042172444,477,0.8814468797382965,8384.156569630213
ALL,2,8225.701030927836,8387.93042172444,477,0.9806591873513356,8384.156569630213
ALL,3,9555.03015075377,8387.93042172444,477,1.139140368404414,8384.156569630213
ALL,4,9431.282926829268,8387.93042172444,477,1.1243873581023731,8384.156569630213
ALL,5,8993.851330203443,8387.93042172444,477,1.072237235887137,8384.156569630213
ALL,6,8575.589393939394,8387.93042172444,477,1.022372499863485,8384.156569630213
ALL,7,8141.973174366617,8387.93042172444,477,0.9706772427772168,8384.156569630213
ALL,8,8582.582621082622,8387.93042172444,477,1.0232062248458855,8384.156569630213
ALL,9,8058.0126227208975,8387.93042172444,477,0.9606675565465984,8384.156569630213
ALL,10,9082.336971350614,8387.93042172444,477,1.0827863983978319,8384.156569630213
ALL,11,7469.013404825737,8387.93042172444,477,0.890447706323512,8384.156569630213
ALL,12,7477.872031662269,8387.93042172444,477,0.8915038222414015,8384.156569630213
