site_key,performance_group,panel_name,client_id,site_id,state,region,city,panel_lat,panel_lon,annual_washes,annual_year,monthly_washes,months_obs,Name,Latitude,Longitude,client_name,_Match,__longitude,__latitude,__name,2025 Estimate,Growth 2025-2020,Growth 2030-2025,2025 Average Age,Labor Force,Average Household Income,Median Household Income,Renter-Occupied,1 vehicle,2 vehicles,3 vehicles,4 vehicles,5 or more vehicles,Total Vehicles Available in the Market,Average Number of Vehicles Available,"$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999",Median Household Income.1,Average Household Income.1,Current Year Estimated Owner-Occupied Housing Units by Value,Count of Car Wash Competitors,Nearest Car Wash Competitors-Name,2nd Nearest Car Wash Competitors-Name,3rd Nearest Car Wash Competitors-Name,Nearest Car Wash Competitors-Distance,Nearest Car Wash Competitors-Competitor Type,Nearest Car Wash Competitors-Car Wash Type,Nearest Car Wash Competitors-Website,2nd Nearest Car Wash Competitors-Distance,2nd Nearest Car Wash Competitors-Competitor Type,2nd Nearest Car Wash Competitors-Car Wash Type,2nd Nearest Car Wash Competitors-Website,3rd Nearest Car Wash Competitors-Distance,3rd Nearest Car Wash Competitors-Competitor Type,3rd Nearest Car Wash Competitors-Car Wash Type,3rd Nearest Car Wash Competitors-Website,Count of ChainXY VT - Mass Merchant,Nearest ChainXY VT - Mass Merchant-Chain Name,Nearest ChainXY VT - Mass Merchant-Distance,2nd Nearest ChainXY VT - Mass Merchant-Chain Name,2nd Nearest ChainXY VT - Mass Merchant-Distance,3rd Nearest ChainXY VT - Mass Merchant-Chain Name,3rd Nearest ChainXY VT - Mass Merchant-Distance,Count of ChainXY VT - Grocery,Count of ChainXY VT - Department Store,Nearest StreetLight US Hourly-ttl_overnight,Nearest StreetLight US Hourly-ttl_breakfast,Nearest StreetLight US Hourly-ttl_lunch,Nearest StreetLight US Hourly-ttl_afternoon,Nearest StreetLight US Hourly-ttl_dinner,Nearest StreetLight US Hourly-ttl_night,Nearest StreetLight US Hourly-Highway,2025 % HH with Income $50K+,client_id_1
expressway_1,bottom100,EXPRESSWAY 55,expressway,1,NY,Northeast,800 Motor Pkwy,40.805424,-73.233131,26908.0,2025.0,2242.0,77,expressway,40.8055574,-73.2334848,Expressway 55,Lat/Lng,-73.2334848,40.8055574,Expressway 55,117295.9575921602,0.0055116845972642,0.0069714314528923,39.18967830583735,33136.36673306022,146863.9596357233,118190.73435545452,6796.514727529604,7597.549857475795,11348.513395427492,5624.296919404762,2636.7032091931906,1432.676922007464,64877.66485335515,2.15056026101021,3340.0846491262782,2929.317540736869,2736.2645579369273,2119.650423125131,3624.079699633876,118190.73435545452,146863.9596357233,23550.425397098996,2,Expressway 55 Car Wash,Wash N Roll Car Wash,,0.0014416994592434,Tunnel Car Wash,Full-Service,www.expressway55carwash.com,1.5259314113107374,Tunnel Car Wash,,,0.0,,,,3,Target,2.786372273004896,Walmart USA,2.891984675312129,Walmart USA,2.959239898686726,1,0,667,1744,1643,2356,2180,1480,secondary,83.1547644500751,expressway
snappyscarwash_000115_3,bottom100,Snappy Cicero,snappyscarwash_000115,3,IL,Midwest,3150 S Cicero Ave,41.835095,-87.744074,26662.0,2025.0,2222.0,72,snappyscarwash_000115,41.8351233,-87.744067,Snappy Car Wash,Lat/Lng,-87.744067,41.8351233,Snappy Car Wash,327389.63664849347,-0.0154465084139831,-0.0155002860874708,37.39478917300271,158862.8586786628,84741.2913818661,64499.879407403096,50950.27063868946,38577.13589381807,27805.096137553595,11999.148022906673,3880.5100805091206,1337.9870373321571,152396.74774634256,1.5003435299488035,10109.15799461456,7013.926399389671,4789.369460438831,3520.42036660309,3289.794854359019,64499.879407403096,84741.2913818661,50673.395422910544,11,Snappy Car Wash,The Pride of Cicero Car Wash,Fuller's Car Wash,0.0255317671382617,Tunnel Car Wash,Express/petrol/c-store,no website,0.0365423683971661,Tunnel Car Wash,Express/petrol/c-store,www.thepridestores.com/cicero/,0.3272191458099096,National Chain,Express,www.fullerscarwash.com,3,Walmart USA,0.3179767892826049,Target,0.3430714212824512,Target,1.9345192801181317,6,0,5447,10393,6905,7556,7623,7102,primary,61.03318401687313,snappyscarwash_000115
apple_000012_1,bottom100,Apple W&L,apple_000012,1,TX,South,22355 Bellaire Blvd,29.700886,-95.689826,26396.0,2025.0,2200.0,78,apple_000012,29.6915283,-95.7667846,Apple Car Wash u0026 Lube Center,Lat/Lng,-95.7667846,29.6915283,Apple Car Wash u0026 Lube Center,106127.27475081304,0.1980816627216364,0.139944196967419,36.70623236525081,57317.45219202381,161612.97397209305,137614.23622816365,7632.727500400739,7305.031875342946,16750.940077419742,6051.95514029311,1583.4824755288428,880.5405885941582,69699.41029614792,2.0853978794128865,3201.9244538763305,3520.2392441720003,3248.4977439107606,3584.1122585388366,4550.499229681562,137614.23622816365,161612.97397209305,25789.868247021222,4,Apple Car Wash & Lube,WhiteWater Express Car Wash,Whitewater Express Car Wash,0.003591271293342,Tunnel Car Wash,Full-service/detail/lube,www.applecarwashusa.com,1.8667445304011745,National Chain,Express,www.whitewatercw.com,2.2876586894819946,National Chain,Express,www.whitewatercw.com,1,Walmart USA,0.4818990962017003,,0.0,,0.0,5,0,311,1834,1625,2130,2299,1470,secondary,85.36550058345948,apple_000012
nicholasville_1,bottom100,THOMAS CAR WASH,nicholasville,1,KY,South,218 Blueberry Ln,37.891331,-84.56775,26341.0,2025.0,2195.0,78,nicholasville,37.8913661,-84.5677961,Nicholasville Cw,Lat/Lng,-84.5677961,37.8913661,Nicholasville Cw,33028.213580947195,0.0809593999173978,0.0679986277951009,38.50334234455373,16520.998674398754,92983.27964809032,73536.34474512054,4667.06577854458,4145.261062015314,5466.314788999967,1674.8671091225697,399.5382543011219,299.9549421608099,23200.419695391494,1.8753156247205731,1525.0862823514035,1077.7827588870423,653.0366522732074,413.9893713671481,366.7313086707727,73536.34474512054,92983.27964809032,7744.191630499787,3,Thomas Car Wash,Clean Sweep Car Wash,Childers Oil,0.0049417972396296,Tunnel Car Wash,Full-Serve/Ext.,www.thomascarwash.com,0.9306142389119104,Tunnel Car Wash,Express,https://cleansweepcarwash.com,2.7778080400379612,Tunnel Car Wash,,,1,Walmart USA,0.6257112941627734,,0.0,,0.0,1,0,541,3544,3185,3397,3482,2074,primary,66.51855532711383,nicholasville
hurricane_1,bottom100,WASHWORKS EXPRESS,hurricane,1,TX,South,601 E King Ave,27.515375,-97.861569,26259.0,2025.0,2188.0,78,hurricane,27.5153194,-97.8615725,Washworks Express,Lat/Lng,-97.8615725,27.5153194,Washworks Express,24935.489212732995,-0.0245150682658204,0.0306183310889063,36.66968137088009,12413.856887711445,72750.21139031305,59224.93895613309,4757.3898551493185,3608.5808257379103,3463.312215867918,1149.8968338585692,347.46373674296774,79.96681526489556,15774.584782345804,1.7180919739725249,920.8014016868548,646.5967336798785,437.0064214178128,283.57101245829836,171.89138696051668,59224.93895613309,72750.21139031305,4446.765111230314,1,WashWorks Express,,,0.0020270276316913,Tunnel Car Wash,Express,www.weashworksexpress.com,0.0,,,,0.0,,,,1,Walmart USA,1.855364430654889,Walmart USA,1.855364430654889,,0.0,0,0,8,54,64,74,83,41,tertiary,56.40209173393332,hurricane
localcarwash_000028_1,bottom100,Local Car Wash,localcarwash_000028,1,PA,Northeast,331 W Loudon St,39.935767,-77.666634,25918.0,2025.0,2160.0,78,localcarwash_000028,39.9362195,-77.6671781,Local Car Wash,Lat/Lng,-77.6671781,39.9362195,Local Car Wash,35649.4330051369,0.0314609435557105,0.0264064893428417,41.610287064265286,17714.20105424861,92618.44237640598,72471.18254519024,6550.776029735804,5855.9233096971875,4709.920328598644,1855.00588016666,668.7857370362035,374.46790047571994,25388.26405791787,1.7442379825655898,1372.338994706166,938.531100982218,804.3756165903178,618.6046609411133,596.9707779680612,72471.18254519024,92618.44237640598,8039.663427814783,3,The Local Car Spot Company,Rain Tunnel Car Wash,Tommy’s Express® Car Wash,0.0023209708394167,Tunnel Car Wash,Flex/detail,www.thelocalcarspot.com,1.626716431995999,Tunnel Car Wash,Express/IBA/SS/,www.raintunnelwash.com,1.6899364093805511,National Chain,Express,www.tommys-express.com,1,Target,1.9366380724184191,,0.0,,0.0,1,0,594,2692,1895,2078,1843,888,trunk,69.02835915361023,localcarwash_000028
polishedpeachcw_000288_1,bottom100,Polished Peach Car Wash,polishedpeachcw_000288,1,GA,South,1490 Towne Lake Pkwy,34.105735,-84.54331,25807.0,2024.0,2151.0,54,polishedpeachcw_000288,34.1056969,-84.5432746,Polished Peach Car Wash,Lat/Lng,-84.5432746,34.1056969,Polished Peach Car Wash,71511.80156190135,0.096571309300946,0.0687171939002714,40.03166933626733,41739.41746779508,134634.57200172613,110783.75957420882,8110.843121482525,8044.187150174752,11780.18295580498,4608.358772061532,1236.6618314182851,623.5951976424549,53494.25269185472,1.996852888678775,3544.140373398084,2632.9651250024326,2231.4870247037616,2068.9502849434502,2497.2968754752073,110783.75957420882,134634.57200172613,18698.277312741615,8,Grease Monkey Car Wash,Zips Car Wash,Aqua Breeze Car Wash,0.0009810077335586,Tunnel Car Wash,Express/Lube,www.greasemonkey.com,0.9451102160136932,National Chain,Express,www.zipscarwash.com,1.5042011302864182,Tunnel Car Wash,Express,www.aquabreezecarwash.com,2,Target,1.412894658714335,Walmart USA,2.4178161767560837,,0.0,6,0,551,4979,4296,4795,4803,2633,secondary,80.08249368634851,polishedpeachcw_000288
alpineshell_000609_1,bottom100,Alpine Express,alpineshell_000609,1,CA,West,2235 Alpine Blvd,32.835124,-116.765505,25650.0,2025.0,2138.0,29,alpineshell_000609,32.835188,-116.765481,Alpine Shell,Lat/Lng,-116.765481,32.835188,Alpine Shell,14829.117863869644,-0.0294445843482698,0.005816237168856,43.768913459951456,7389.347395674325,150412.6918768137,127049.38310672004,1549.214227631688,1121.1414715016726,2024.0870152979624,1210.7314356651625,521.1171397657599,323.93123928038403,12505.634564558044,2.3693252808782894,667.4468144539278,553.5705158854835,482.4885434419848,447.22852664766833,686.9329941547476,127049.38310672004,150412.6918768137,3780.8131714884657,0,,,,0.0,,,,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,284,2276,1781,2038,1548,722,secondary,82.77867775461766,alpineshell_000609
cleancarwash_000496_1,bottom100,Mr Suds Express Car Wash II,cleancarwash_000496,1,FL,South,3975 N Federal Hwy,26.385412,-80.076956,25115.0,2025.0,2093.0,43,cleancarwash_000496,26.385582,-80.076998,Clean Car Wash,Lat/Lng,-80.076998,26.385582,Clean Car Wash,62404.05136393802,0.0530160565181861,0.0315125760543609,46.09005369787464,30578.045617130814,180011.92075212923,111786.10714512636,9401.216315956786,12721.912265321473,10183.821152901975,1881.2073477313388,720.5436760992743,264.0156867369078,42935.42975240107,1.5820449244560713,2829.118309948826,2185.9092850447632,1757.9554820738267,1584.94056774606,3679.550977942068,111786.10714512636,180011.92075212923,17797.226000688504,6,Clean Car Express,Ultra Sonic Hand Car Wash,Boca Mart,0.008116251697365,Tunnel Car Wash,Full-Servie/Ext./Detail/Petrol,No website,0.3261531278475147,Tunnel Car Wash,Full-Service/Ext./Detail,www.ultrasoniccarwash.com,0.685377000835087,Tunnel Car Wash,Exterior/Petrol,www.exxon.com,1,Walmart USA,2.806784400802784,,0.0,,0.0,6,1,154,1527,1576,1440,1324,691,secondary,77.08635484728696,cleancarwash_000496
1003625superspray_1,bottom100,SUPER SPRAY,1003625superspray,1,OK,South,1581 S Muskogee Ave,35.8957,-94.976267,24759.0,2025.0,2063.0,78,1003625superspray,35.8956996,-94.9762675,Super Spray,Lat/Lng,-94.9762675,35.8956996,Super Spray,19864.043481180677,0.0055467827923792,0.0281880811065162,37.15807422941083,9488.300326708006,81372.7849705824,58101.544292028746,3884.976190003217,2738.7593650773633,2843.026582562481,1160.0751282337587,272.2424111026339,110.02070763311347,13544.111097479705,1.7553489536475482,664.6225197747117,476.95710660750046,215.02761003107295,204.41035445046143,201.68729778390843,58101.544292028746,81372.7849705824,3858.27606343152,2,Buff It Auto Wash,Big Splash Carwash,,0.5968150496414931,Tunnel Car Wash,Express,No website,1.4033732509874042,Tunnel Car Wash,Express,www.bigsplashcarwash.com,0.0,,,,1,Walmart USA,0.5254186797465994,,0.0,,0.0,0,0,191,2197,2375,2252,1964,984,secondary,56.41606053144029,1003625superspray
